P02760922A0000|0 56|Heterogeneous nuclear ribonucleoprotein (hnRNP) core protein A1
P08666913A0000|0 4|Ly-49
P10477597A0126|0 4|TRAF2
P01695322A0000|0 4|Wnt-1
P09797456A0883|0 4|AMY-1
P10698937T0000|0 4|TIP30
P08222384A0455|0 4|SIN-1
P08504933A0000|0 4|Pit-1
P09407036T0000|0 4|Tcn1p
P01691184A0995|0 4|Gap b3
P09891085A0815|0 4|Nip7p
P10233147A0218|0 4|Ras2p
P08072547T0000|0 4|c-Fos
P11113201A1114|0 3|Pmt2
P07791769A0826|0 3|ICP4
P04778129T0000|0 3|9,11
P08070654A0000|0 3|KAR1
P07783641A0591|0 3|CodY
P11559366T0000|0 3|E2F1
P08649372A0501|0 3|Clb2
P10487921A0132|0 3|ATF1
P07926748A0383|0 3|NOT4
P01837842A1410|0 3|CREB
P11287654A0150|0 3|PABP
P07499409A0367|0 3|TPBF
P02125016A0145|0 3|PBSX
P09560430A0000|0 3|Ime1
P08621659A0189|0 3|Gas6
P02538720A0582|0 3|UbiA
P01588961A0000|0 3|STP1
P09079689A0472|0 3|MOP5
P09918715A0304|0 3|MotA
P09422351A0000|0 3|Ca2+
P10931950A0869|0 3|Cdk2
P09234703A0192|0 2|JNK
P09488491A0000|0 2|E2F
P11569900A0660|0 2|APC
P07951410A1332|0 2|E1A
P10817754T0000|0 2|H19
P10413676A0000|0 2|FAK
P09639074A0707|0 2|Sp1
P08343216A0883|0 2|PPD
P10767553A0100|0 2|Hex
P09261397A0509|0 2|Gag
P01653238A1715|0 2|TPA
P10781990A0455|0 1|T1
P07516866A0000|1 22|full-length PRL receptor
P10498616A0157|1 10|G22V mutant
P10229668A0560|1 7|cdc33-1
P09311810A0814|1 2|iv
P00555492A1034|1 1|5
P09949160A0600|1 1|2
P08521717A0126|2 17|immunoperoxidase
P09566871A0343|2 12|fus3 mutants
P00050628A0202|2 4|IgG
P07514301A0000|3 46|interferon-induced RNA-dependent protein kinase
P09829843A0119|3 40|hematopoietic colony-stimulating factors
P09677330A0584|3 38|PDE4A-subfamily-specific linker region
P03143485A0366|3 36|Euglena ribosomal protein gene cluster
P02689439A0000|3 36|cytosolic glutathione S-transferases
P07628438T0000|3 34|Drosophila insulin receptor homolog
P09409821T0000|3 34|Saccharomyces cerevisiae RAD30 gene
P10438593A0000|3 34|human immunodeficiency virus type-1
P02784507A0000|3 33|human immunodeficiency virus type 1
P07862168A0000|3 33|interleukin 2 receptor alpha-chain
P09201946A0000|3 31|RNA-binding and RNA-DNA helicase
P07659746A1464|3 30|CVA16.4 proteolipid transcript
P08882492A0000|3 30|mammalian homeodomain proteins
P09747873T0000|3 30|SH2-containing adapter protein
P08816498A0000|3 29|serine/threonine kinase Raf-1
P01556068A0000|3 29|Klebsiella aerogenes gene maoA
P02466665A0202|3 25|small IGF-binding protein
P02685331A0523|3 24|R. meliloti nifH promoter
P10613863T0000|3 23|VirR response regulator
P02083253A1512|3 23|TCF-1 alpha binding site
P08442384T0000|3 23|SCH9 protein kinase mRNA
P11368363A1103|3 22|human protein sequence
P01717833A1223|3 22|alpha inhibin promoter
P11267679A0102|3 20|438 bp EcoRI fragment
P08771781A1103|3 18|ORFII gene product
P09822647A0000|3 18|rat aldolase C gene
P09801333A0174|3 18|full-length N gene
P07647303T0000|3 18|homeobox gene ATK1
P01837787T0000|3 18|murine Mov-34 gene
P09421507A0000|3 17|SR protein family
P11241215A0566|3 17|mutant receptors
P02403926A0000|3 16|trk-2h oncogene
P08183552T0000|3 16|human eps15 gene
P09862481A0000|3 15|Mig1 repressor
P09858571T0000|3 15|yeast RER2 gene
P08220494A0231|3 15|T-cyt promoter
P09195923A0125|3 14|immunophilin
P07678051A1303|3 14|PDGFR mutants
P08576262A0160|3 14|IL-8 receptor
P07797476A1001|3 14|RAP74 subunit
P03007281A0905|3 13|Dox-A2 locus
P01339468A0272|3 13|ORF1 protein
P10777669A0582|3 12|ZNF274 gene
P07568026A0622|3 12|Stat5b mRNA
P08412665A0000|3 12|scr regulon
P07514301A0000|3 12|interferon
P09658405A0000|3 11|Dax-1 gene
P08898893A0202|3 11|PAI-2 gene
P01457380A0000|3 11|tramtrack
P02300577A0852|3 11|beta chain
P02674327A0493|3 11|p34.8 gene
P02187871T0000|3 11|ANB1 locus
P08605324A0434|3 10|viral LTR
P01316476A1428|3 10|ORF 4 gene
P11152070A0573|3 10|actA gene
P11355576A1125|3 9|cyclins
P08934540A0673|3 9|nm23-H1
P09005979A0841|3 9|GHR mRNA
P07508954A0000|3 8|avidin
P08514766A0732|3 8|GTPase
P01573270A0000|3 8|IA4 mAb
P09202669A0614|3 8|pWP-19
P10497117A0358|3 7|P mRNA
P03001645A0785|3 7|pet56
P08483412A0000|3 6|nifJ
P08647086A0720|3 6|Cdk2
P10611228A1388|3 6|DAP5
P09132061A0828|3 6|atp 1
P08768374A0765|3 6|P-wr
P10487217A0735|3 5|C2C
P08835895A1292|3 5|CD4
P07326596A0061|3 5|IgA
P11570820T0000|4 24|casein kinase I isoforms
P08514757A1100|4 16|immunophilins
P02480959A0470|4 15|P-450scc mRNA
P08858211A0694|4 6|GAP
P02487898A0315|4 6|NGF
P09422351A0000|5 39|calmodulin-dependent protein kinase II
P07520098A0211|5 39|B6-derived Db mutant B6.CH-2bm13 (bm13)
P09655916A0415|5 33|DNA recognition helix of finger II
P09827878A0091|5 25|glutathione peroxidase
P09165035A0842|5 23|alkaline phosphatase
P08790387A0299|5 16|rat rnu allele
P09510925A0389|5 15|haemoglobin
P08649372A0501|5 15|Cdc28 kinase
P08621628A1233|5 11|hGRbeta
P08723883A0823|5 10|GSH-Px
P01708098A0922|5 10|avidin
P10330159A1258|5 7|VDR
P09393706A1171|5 7|Fis
P00369397A0280|5 7|FSH
P08798643T0000|6 34|phosphotyrosine-binding domain
P11245986T0000|6 33|growth-related nuclear protein
P02417023T0001|6 24|superoxide dismutase
P09822647A0000|6 18|aldolase C gene
P08986812A1214|6 17|wild-type p53
P00601401A0181|6 15|hemoglobin
P01653238A1715|6 14|TGF-beta 1
P01657415A0837|6 13|K1 cox1.2
P07859739T0000|6 12|cyclin D
P07935418A0447|6 11|v-erbA
P09560221A0282|6 11|cak1At
P03319646T0000|6 10|renin
P09278475A0465|6 10|scs32
P01695322A0000|6 10|int-1
P09407036T0000|6 10|Crz1p
P10817754T0000|6 9|Igf2
P10918572A0794|6 9|VaII
P11287654A0150|7 20|modular protein
P02154602A0092|7 18|human homolog
P09022040A0263|7 15|L-plastin
P09535835A0279|7 14|Kinectin
P10197985A0145|7 12|RNase H
P08138180A0593|7 11|spt10
P10931950A0869|7 10|MAPK
P08325504A0226|7 10|RD19
P10487217A0735|7 9|Prx
P07559555A0557|7 9|ERM
P01337142A2043|8 45|human glycoprotein alpha-subunit promoter
P08666913A0000|8 40|family type II transmembrane proteins
P11282029A0075|8 35|platelet-derived growth factor
P09159183A0119|8 31|ocs element binding factors
P01348504A0757|8 30|pol alpha-primase complex
P08227129T0000|8 27|myosin-binding domain
P02466665A0202|8 25|IGF-binding protein
P08647086A0720|8 23|cyclin-D1 complex
P10878944A0000|8 22|diphtheria toxin
P11267679A0102|8 20|EcoRI fragment
P09220158A0537|8 20|62-kDa protein
P08319907A0754|8 19|rap1t alleles
P01742879A0471|8 16|Plasma AVP
P09175858A1449|8 16|B-S mutant
P09651367T0000|8 13|RalGDS
P09553143A0729|8 13|ZAP-70
P07557091A0314|8 13|rHb1.1
P11276426A0501|8 12|Mmip1
P09396722A0185|8 12|ApxII
P07918097T0000|8 12|Notch
P08683106A0374|8 11|IL-2
P10611228A1388|8 10|p86
P11046153A1052|8 10|Tax
P07283110A0000|8 9|B1
P09086268A0611|8 9|P7
P01734570T0000|9 29|thromboxane synthetase
P00052597T0000|9 23|immunoglobulin E
P01545787A0345|9 21|human enhancer
P04423347T0001|9 21|ceruloplasmin
P09639074A0707|9 19|Sp3 isoforms
P09685226A0000|9 18|calcitonin
P06784123A0771|9 14|C mu RNA
P07828600A0095|9 11|SSP
P08264582A0750|10 37|full-length cytoplasmic domain
P10198003A1505|10 35|lacZ transcriptional fusions
P08446579A0784|10 34|transcription factor Gal-ER
P07508954A0000|10 32|biotin complex peroxidase
P08768374A0765|10 26|P-rr cDNA sequences
P09735368A0636|10 25|wild-type m8 3' UTR
P10910073A0876|10 25|PDGFbetaR fusions
P08825639A0827|10 25|Alu repeat element
P08483412A0000|10 22|nifH promoters
P08063766A0595|10 18|beta II PKC
P07878029A0721|10 14|CBF-A
P01460054A0968|10 14|ICSBP
P07739566A1076|10 14|Pax-6
P02000093A0794|10 13|La-O
P08386318A1102|10 13|IL-6
P09132061A0828|10 13|atp 2
P08912807A0411|11 31|truncated deer receptor
P02498322A0226|11 30|DNA-protein complexes
P10037460A0221|11 29|muscarinic receptors
P02850967T0000|11 27|proto-oncogene fos
P03033283A0837|11 25|NF1-binding loci
P03552363A0568|11 22|serum insulin
P08934540A0673|11 21|nm23-H2 gene
P00528144T0000|11 21|transferrin
P09351242A0719|11 21|AtP5CS1 mRNA
P03001645A0785|11 19|his3 genes
P10406464A0687|11 18|mTRAP100
P08892755A0186|11 18|carp JAK1
P09005979A0841|11 18|GHBP mRNA
P08454858A0285|11 17|Ig-beta
P11006283A1180|11 14|AROM
P10563836A1234|11 14|AP-2
P10602516A0182|11 13|SLK
P10706688A0376|11 13|TCR
P10574992A0901|11 13|E1A
P00369397A0280|11 12|LH
P10049775T0000|12 58|human Voltage-Dependent Anion Channel isoforms 1 and 2
P10049775T0000|12 54|human Voltage-Dependent Anion Channel isoforms 1
P10524258T0000|12 47|avian fibroblast growth factor receptor 1
P07588245T0000|12 33|glucocorticoid receptor
P10527426A0521|12 29|SBEI gene transcript
P03692331A0000|12 28|beta-adrenoceptor
P08395004A0141|12 24|spt2 mutations
P08276851A0347|12 24|Pay4p sequence
P08617216A0584|12 23|complete DnaJ
P02987220A0472|12 23|DNA fragments
P09570133A0474|12 22|DNA-protein
P09117345A0945|12 22|alpha 4 beta 1
P08440238T0000|12 21|C-terminus
P11358958A0878|12 21|human RACK1
P10422291A0572|12 20|IgA lambda
P08376796A0172|12 20|VH regions
P07916003A0688|12 20|mouse gene
P11133830A0174|12 19|human CD2
P11469970A0873|12 18|type III
P10409724A1021|12 17|ERK1/2
P01708098A0922|12 17|biotin
P10542281A0382|12 16|G1-G2
P09864141A0528|12 16|Stat3
P10551796T0000|12 16|HIV-1
P09525891T0000|12 16|meis1
P11525640A0560|12 15|JNK1
P11069307A0546|12 15|RNA2
P08626313A1037|12 14|Msp
P08343216A0883|12 14|IgG
P03181276A0422|12 14|PAF
P10660304A0522|12 14|JAK
P07700361A0125|12 14|SH2
P09407036T0000|13 52|calcineurin-dependent transcription factor
P06795832A0148|13 40|Hepatitis A HBs- and HBe-antigen
P10891441A0871|13 36|pTyr317 Shc phosphopeptide
P09694514A0000|13 36|C3a anaphylatoxin receptor
P01398106A0754|13 32|intron-encoded enzyme
P10446910A0147|13 28|E2F1 gene promoter
P06546392A0542|13 28|C reactive protein
P11108151A0560|13 27|fibronectin mRNA
P09837907A0857|13 24|TNF receptors
P06328012A0549|13 23|EBNA protein
P01907941A0275|13 23|I kappa B beta
P09620273A0189|13 21|Rb protein
P11160307A0394|13 21|wH22xeGFP
P10918059A0569|13 21|RVH domain
P11313398A0687|13 20|FcalphaR
P08432696A1117|13 20|apeA gene
P03682805A0375|13 19|albumin
P03046931A0247|13 18|eIF-4A
P01353478T0000|13 17|H-2Eb
P09032233T0000|13 17|Ets-1
P07559555A0557|13 17|c-Jun
P06895559A0000|13 17|beta2
P02998016A0527|13 17|v-mil
P10320579A1831|13 16|FlgN
P09537651A0366|13 16|PEA3
P10747782A0390|13 16|Mbp1
P09927570A0507|13 16|RNU2
P10722661A0406|13 16|CYC2
P10906176A0000|13 15|ETn
P07705627A1107|13 15|Mad
P00947834X0000|13 15|IgE
P08212571A0971|13 15|gag
P09426183A0000|13 15|Rel
P01457380A0000|13 15|ttk
P11276426A0501|14 41|Mad member interacting protein 1
P08639561T0000|14 38|human N-ras codon 61 sequence
P02187871T0000|14 36|Saccharomyces cerevisiae
P02967915A0968|14 35|calbindin-D28K promoter
P08621659A0189|14 34|NH2-terminal Gla domain
P01333047A0404|14 34|epidermal growth factor
P00001606T0076|14 33|alkaline phosphatases
P04394290T0000|14 32|adrenergic receptors
P10347197A0502|14 30|urokinase promoter
P09418057A0684|14 29|Pto-like sequence
P07875595A0910|14 27|PITSLRE PK genes
P08530432A0093|14 27|mutant proteins
P10455183A0530|14 27|xtRNA(Sec) gene
P09918715A0304|14 24|DNA sequence
P08639561T0000|14 23|human N-ras
P03280807A0000|14 23|suf12 locus
P07787179A0312|14 21|X1 region
P08325504A0226|14 21|RD21 mRNA
P07494244A0335|14 19|E1A243
P02307850A1197|14 19|RNKP-1
P11222720A1699|14 17|RPMS
P07814321A0850|14 17|prfA
P07859739T0000|14 16|Cdk
P09535082A0537|14 16|Paf
P10068637A1320|14 16|Csx
P10801482A0968|14 16|p65
P09488486A0906|14 16|TBP
P11160656A0000|15 76|human cytomegalovirus (HCMV) major immediate-early regulatory region
P09851700A0000|15 50|human tissue-type plasminogen activator
P09705564T0000|15 49|human papillomavirus type 11 E5A protein
P02883963A0000|15 47|human T-cell lymphotropic virus type I
P08246987A0260|15 42|protein-tyrosine kinase domain
P07848358A0254|15 39|aspartate aminotransferase
P08619866A0000|15 36|hepatocyte growth factor
P11158288T0000|15 36|RNA polymerase II complex
P10598101A0000|15 32|bZIP protein Opaque2
P09294161A0650|15 30|wild-type protein
P07977648A0880|15 29|TP53 transcripts
P10477545T0000|15 28|pertussis toxin
P09787323A0000|15 27|interleukin-6
P10229668A0190|15 26|cdc33 mutants
P06152670T0000|15 26|pancreozymin
P08707424A0709|15 25|ERV3 env mRNA
P01828248A0189|15 25|UvrA protein
P09087430A1046|15 24|U1A peptide
P11117523A0650|15 22|COUP-TFI
P11093745A0563|15 22|HNF3 site
P01662794A0640|15 21|wt1 gene
P01537334A0507|15 19|TRP-2
P08978690A0262|15 18|Rad3
P02557217A0000|15 18|ACTH
P09949160A0600|15 18|Epo1
P09114972A1366|15 17|SOS
P09541280A0404|15 17|IgE
P10194769A0146|15 16|1P
P11706949T0000|16 49|insulin-like growth factor I receptors
P02123029A0478|16 48|Raja immunoglobulin heavy chain genes
P02789062A1420|16 43|NF-4FB enhancer binding protein
P11196199T0000|16 33|yeast Rad23 protein A
P10688663A0207|16 33|histone tail domains
P07557091A0314|16 32|human serum albumin
P11113201A1114|16 32|six-protein family
P01779769A0000|16 29|repressor locus
P07504171A1214|16 28|Src SH2 mutants
P07588628A0318|16 27|wild-type p53
P07859777A0000|16 27|serum albumin
P08636031A1413|16 27|Fur repressor
P01788002T0001|16 25|hepatitis A
P10488147A1176|16 24|eotaxin-3
P01296815A0059|16 24|human gene
P09271417A0585|16 23|ERR alpha
P09582306T0000|16 22|Galphao
P09761791A0489|16 21|U1-70K
P10049912T0000|16 21|RNase T
P08567847A1005|16 21|SM-CMA
P10049912T0000|16 20|RNase
P02236022A0000|16 20|c-myb
P07700361A0125|16 19|pTyr
P07667097A0267|16 19|p255
P07739566A1076|16 19|BSAP
P08816472T0000|16 19|Ste4
P11006283A1180|16 18|p64
P09171239A2146|16 18|RXR
P09341193A0362|16 18|Sp1
P09687511A1091|16 18|FUS
P08567847A1005|16 17|SM
P09285789A0712|17 47|guanine nucleotide exchange factor
P11375392T0000|17 42|human thioredoxin reductase 1
P07828600A0095|17 36|stage selector element
P09201946A0000|17 31|RNA-DNA helicase
P10906176A0000|17 31|early transposon
P00481612A1121|17 31|opiate receptors
P09426183A0000|17 31|NF-kappaB family
P07639703A1703|17 30|thyroid hormone
P09583208A0171|17 30|creatine kinase
P09006022A0252|17 28|gene products
P00331128A0000|17 26|calcitonin
P08086450A0467|17 26|bovine gene
P09426183A0000|17 25|NF-kappaB
P09434185A0902|17 25|SPP1 genes
P08534367A0984|17 22|PTP-S4
P07797476A1001|17 21|TFIIF
P09670034A0340|17 21|Ddc1p
P01700272A0838|17 21|B4 RNA
P09055221A0288|17 21|SSTEs
P07926748A0383|17 20|NOT1
P02038784A0317|17 19|ARC
P09042078A0202|17 19|MBF
P11005831A0242|18 66|basic leucine zipper (bZIP)-type ABRE-binding proteins
P07537851A0000|18 46|vascular cell adhesion molecule 1
P11208017A0070|18 43|C2H2-type zinc finger protein
P01280807A0575|18 41|MetRS/CAU operator complex
P01409581A0206|18 38|E26 virus-encoded v-ets
P11207288A0897|18 36|YFV Ag-binding region
P10725382A0398|18 34|sos2 mutant alleles
P10026146A0680|18 31|RIalpha subunit
P02863747T0000|18 29|histone genes
P08643513A0361|18 28|rOC promoter
P10187842A1155|18 27|PPARgamma2
P07565104A0084|18 26|pilin gene
P11469701A0377|18 24|insulin
P09218436A0443|18 24|TATA box
P10373523A0924|18 23|p50E4F
P11071852A0297|18 23|SOCS-3
P11058120A0256|18 22|IRF-2
P10359014A1077|18 22|Fra-2
P02714852T0000|18 22|HLA-B
P10669594A0969|18 21|AgfA
P10068637A1320|18 21|Nkx2
P10544037A0617|18 21|FZD9
P08771787T0000|18 20|LRP
P09148935A0805|18 20|PTK
P08589735A0577|18 20|GUS
P07719527T0000|19 44|recombinant hirudin CGP 39393
P08041362T0000|19 38|cysteine synthase cDNA
P09925777A1195|19 36|hnRNP A1 binding site
P09862481A0000|19 35|zinc finger protein
P01330077A0000|19 30|TCR beta) gene
P10508522A1598|19 29|TGF-beta RII
P08212571A0971|19 29|rev proteins
P11525640A0560|19 27|ERK kinase
P10873387A0816|19 27|human gene
P01321336A0731|19 26|ALF1 cDNA
P08514766A0732|19 25|CDC42Ce
P09515032A1230|19 25|p21 mRNA
P07835888A0402|19 24|XD gene
P07651131A1407|19 24|DNase I
P10073940A0335|19 24|d-axin
P08150970A0434|19 24|TSST-1
P09535835A0279|19 23|mDia2
P07705627A1107|19 23|Medea
P11472696A0387|19 23|CPIgG
P09973351A1522|19 22|DcuS
P08954725A1175|19 22|Tbx6
P11469970A0873|19 21|SOD
P10666238A1322|19 21|E2F
P09442172A0908|19 21|FSH
P10369625A0942|19 21|ODA
P08628254A0665|19 21|Jun
P08631685A0000|20 67|copper- and topa quinone-containing monoamine oxidase
P09525891T0000|20 48|pbx homeodomain protein families
P09427627A0802|20 48|engineered PDGF receptor protein
P10747782A0390|20 43|Swi4 DNA-protein complexes
P09058378A1134|20 42|glucocorticoid receptors
P10625683A0091|20 41|protein tyrosine kinases
P01837787T0000|20 34|full-length cDNA
P11325944A0511|20 34|full-length UhpB
P07526609A0736|20 31|sigma 3 from S4
P03888621A0185|20 30|hydrogenase
P07988559A0836|20 29|RBP-J kappa
P08702633A0164|20 29|Gbetagamma
P09914500A0000|20 28|NF-kappaB
P09864141A0528|20 28|Stat3beta
P09886843A0339|20 28|human gene
P09291098A0452|20 28|2.6 kb mRNA
P00385457A0187|20 25|pepsin
P10542269A0000|20 24|Abeta
P01309593A1092|20 24|UCRBP
P01766666A0788|20 23|rE12
P08978690A0262|20 23|Mec1
P09537651A0366|20 23|STAT
P10320579A1831|20 23|FliT
P10472314A0717|20 22|TTP
P00453780A0430|20 22|IgA
P09324988X0000|20 22|p21
P09341193A0362|20 22|Sp3
P07007591A0324|20 20|R
P10413676A0000|21 49|transmembrane integrin receptor
P08139577T0000|21 48|yeast transcription factor IIIB
P07514301A0000|21 46|RNA-dependent protein kinase
P07945937A0358|21 45|zebrafish egr1 coding region
P00792847A0000|21 42|antilymphocyte globulin
P00866577A0579|21 41|plasminogen activators
P08090767A0000|21 38|DNA polymerase delta
P01690812A0000|21 37|ribosomal DNA (rDNA
P10754312A0798|21 35|mutated proteins
P09311810A0814|21 35|cyclin D3 protein
P07490079T0000|21 32|human homolog
P09144195A1051|21 32|PS1 fragments
P07655505A0527|21 31|GT-2 protein
P11462004A1500|21 30|mutant Vp1s
P10865422A0138|21 28|ferritin
P08473731A0149|21 28|B29 genes
P03682805A0375|21 28|globulin
P09144165A1275|21 27|NFAT RIR
P08919907A0763|21 25|VSF-1
P10532354A1374|21 25|Anu2p
P10502402A0129|21 25|TRAIL
P09314537A1600|21 25|EBP50
P09023378A0959|21 24|CBF1
P07814321A0850|21 24|ponA
P09524122A0336|21 24|GPA2
P02680843A0724|21 24|RS 86
P09380707A0714|21 24|LAZ3
P07494244A0335|21 23|YY1
P09333026A0397|21 23|brk
P08871635A0000|21 23|BCR
P09236224A0939|21 23|p21
P10563212A0514|21 22|SF
P09431812A0576|21 22|Hh
P11181516A0119|22 55|insulin promoter-reporter constructs
P09710599T0000|22 52|mitogen-activated protein kinases
P00716366T0001|22 50|alkaline phosphatase isoenzymes
P08300605A0671|22 47|homeodomain-binding element
P01516829A0460|22 46|LexA-Bicoid fusion proteins
P11195338A0494|22 44|dominant mutant Lg3 allele
P08849778A0598|22 42|repA (initiator protein
P08986812A1214|22 41|delta proAE mutant cDNA
P09225682A0579|22 37|anti-GM1 antibody
P07592711T0000|22 33|yeast protein
P11423991A1393|22 31|p53 mutants
P00989973A0000|22 31|fibrinogen
P09438427A0727|22 31|CE2 element
P09882638A0235|22 29|collagen
P04214345T0000|22 29|serum IgG
P10026211A0136|22 29|PEPCK CRE
P10409730A0597|22 28|RP genes
P10187798A1098|22 26|DAP-1
P11169113A0555|22 26|p16.7
P10567589A1268|22 26|Pmt3p
P10523647A0000|22 25|CHOP
P10870043A0621|22 25|GnRH
P11171118A0836|22 25|NF-1
P07597488T0000|22 25|G6PD
P08877103A0081|22 25|mdr2
P08289357A0724|22 24|rep
P09294471A1198|22 24|CD4
P09189896A0611|22 24|ERP
P11423991A1393|22 24|p53
P09626662A1076|22 23|TR
P10794936A0241|22 23|MB
P03200844A1211|23 51|62-kDa nuclear pore glycoprotein
P02481230A1258|23 42|bovine alpha transgene
P09311568A0595|23 38|C1YVV NIa protease
P08504933A0000|23 37|POU domain factor
P07823919A1422|23 37|Oct-3/4 promoter
P02372496A0782|23 35|angiotensin II
P02033062A1169|23 35|chimeric genes
P02481230A1258|23 33|bovine alpha
P07545920A1336|23 32|hsiggll150
P06101359T0000|23 29|insulin
P11313398A0687|23 29|wt-ITAM
P06346427A0000|23 29|insulin
P08386318A1102|23 29|JRE-IL6
P07823919A1422|23 27|Oct-3
P11220306A0911|23 26|RpoS
P10839547A0978|23 26|CTCF
P11058119A0957|23 26|XAB1
P07816617A0763|23 26|HAC1
P10406465A0589|23 25|VDR
P10775585A0754|23 25|P70
P08628254A0665|23 25|eb1
P09651367T0000|23 25|Ras
P09032233T0000|24 50|POU-homeodomain protein GHF-1
P09210478A0000|24 48|hypoxia-inducible factor-1
P08440238T0000|24 46|adenovirus 2/5 E1a protein
P08838805T0000|24 44|human beta-catenin gene
P06324089A0453|24 43|GAL7 5' flanking region
P08993393T0000|24 42|immediate-early gene
P01353478T0000|24 41|IAP retrotransposon
P08781119A0723|24 41|mouse Met-ase-1 gene
P02024816A0521|24 41|surfactant protein A
P09811695A1146|24 40|HIV-1 Gag sequences
P07518578A0000|24 39|Rous sarcoma virus
P02154602A0092|24 37|mouse Mx protein
P11595176T0000|24 37|human SPEC1 gene
P07476701A0654|24 36|IgE antibodies
P02806916A0000|24 36|oryzacystatin
P09324988X0000|24 35|ras) proteins
P08325883A0368|24 34|RBP1 protein
P08144497T0000|24 34|raf-1 kinase
P08567556A0000|24 32|myoglobin
P11389085A1032|24 32|NF-kappaB
P09515031A1020|24 32|TGF-betaf
P10398682A0365|24 31|VP16 core
P09553143A0729|24 29|SLP-76
P08940132A1120|24 29|fodrin
P10693314A0521|24 28|CK-MB
P08555446A0000|24 28|ppa-1
P09180687A0096|24 27|SulA
P09973351A1522|24 27|DcuR
P07748952A1329|24 27|mutL
P07516866A0000|24 27|PRLR
P10398682A0365|24 27|VP16
P11360190A0178|24 26|Tax
P10570262A0000|24 26|TCR
P07789275A0325|24 26|E74
P10194762A0648|25 63|glutathione-S-transferase-fusion protein
P01527020A0511|25 59|human and rat AdoMet decarboxylase genes
P07844155A0327|25 59|receptor-linked tyrosine phosphatases
